Train_Loss,Val_Loss,Epoch
0.6743054283199026,0.7544802231575126,1
0.6084944703685704,0.7129156135801059,2
0.5622240002475568,0.6151430375540434,3
0.5219409376827638,0.6595462169220199,4
0.4835370120717518,0.6752629724901114,5
0.4371982145665297,0.45503487248918906,6
0.37202204252356913,0.39883328017903796,7
0.3132590722681871,0.2910297014820042,8
0.2659905962089994,0.41216938887069476,9
0.2403750428512915,0.26548899910343227,10
0.21375916698085728,0.24233572874496231,11
0.19709573841806668,0.20099545236843736,12
0.1862517586394922,0.18739681012594878,13
0.18031344573889205,0.187649165516469,14
0.17927723233379536,0.3463291979547757,15
0.15768975909076519,0.1657547870678688,16
0.14987716034277163,0.15014780368377914,17
0.15825238067712358,0.171424060615141,18
0.141477470967307,0.3835202428831983,19
0.12780515738387607,0.1948343666631784,20
0.11907804901920148,0.12245049316491653,21
0.11444695049257421,0.11522398422013468,22
0.11348723564574968,0.11793418072942477,23
0.11307787628316168,0.12116502559007104,24
0.11260380228953575,0.1249564236669398,25
0.11117051697489042,0.11278273810201617,26
0.10594257312034493,0.10958352284644966,27
0.10289931297302246,0.11056514996201244,28
0.10155879472618673,0.1068112111803311,29
0.10234951350226332,0.12347841173855227,30
0.10031516160537947,0.11005124138362372,31
0.09967623539824984,0.10730174851061693,32
0.09869574166055936,0.12886406681430873,33
0.09974305309466462,0.19463401677003547,34
0.0996541879070339,0.10502615704465268,35
0.09926697389403386,0.11468711450918397,36
0.09770512936720208,0.10551384224820493,37
0.0959240295993748,0.1084884316173952,38
0.09616840775333234,0.10902277480310468,39
0.09427665863464128,0.10351640163962521,40
0.09365682370627104,0.10703580059222322,41
0.09451319210564912,0.10019541587402571,42
0.09378488473038175,0.09956436014887113,43
0.09261684720195941,0.09689122794279412,44
0.09371478433039651,0.09889199840488719,45
0.09210210415854383,0.1008175335713287,46
0.09042069093504948,0.09619306361497339,47
0.08974598503824491,0.09689901924844999,48
0.09049891624877703,0.10499514127845194,49
0.09055261736485495,0.09714756883792024,50
